﻿msg_0,"[color(green)]塔の中央に、古のものが座している。[color(white)]
[sync][wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
ぎゃあああぁぁぁ！
気色わるっ！
[sync][wait][clear][end]"
msg_2,"[color(yellow)]猫中将ズーラ[color(white)]
この古のものは、太古の地球に飛来し、
高度な知性と文明で地球全土に繁栄した異星の種族。
この星のあらゆる生命を創造したるものだ。
[sync][wait][clear][end]"
msg_3,"[color(green)]古のものの、不快感を催す触手には、
光輝く知恵のトラペゾヘドロンが握られている。[color(white)]
[sync][wait][clear][end]"
msg_4,"[color(yellow)]克哉[color(white)]
異星のもの？
こんなものまで僕らの一面と言われても、
理解し難いな…
[sync][wait][clear][end]"
msg_5,"[color(yellow)]猫中将ズーラ[color(white)]
覚醒の世界にも、
言葉の通じぬ相手や、
理解し難い文明を持った異種族はいるであろう。
[sync][wait][clear][end]"
msg_6,"[color(yellow)]克哉[color(white)]
異文化や異人に対する、恐れや不安の形象と
いうことか？
文明的な種族なら、意思の疎通ができるかもしれんが…
[sync][wait][clear][end]"
msg_7,"[color(yellow)]オールドワン[color(white)]
・・・－－－・・・
・・・－－－・・・
[wait][clear][end]"
msg_8,"[color(green)]古のものは、笛のような音を出し、
触手をうねらせている。[color(white)]
[sync][wait][clear][end]"
msg_9,"[color(yellow)]パオフゥ[color(white)]
なんか言ってやがるのか？
[sync][wait][clear][end]"
msg_10,"[color(yellow)][tatsuya][color(white)]
どうする、舞耶姉？
[sync][wait][clear][end]"
msg_11,"どうする、舞耶姉？
[end_choice][clear][end]"
msg_11_Choice1,うーん、お腹が空いてるんじゃないかな？
msg_11_Choice2,うーん、怒ってるんじゃないかな？
msg_12,"[color(green)]舞耶は、鞄からカニ缶を取り出し、
古のものに近づいた。[color(white)]
[sync][wait][clear][end]"
msg_13,"[color(yellow)]パオフゥ[color(white)]
あ、天野、お前なんでそんなもん持ち歩いてんだ！？
[sync][wait][clear][end]"
msg_14,"[color(yellow)]うらら[color(white)]
お弁当よ。
マーヤ、あんまり忙しい時は、
あれパンに挟んで食べてんだって。
[sync][wait][clear][end]"
msg_15,"[color(yellow)]パオフゥ[color(white)]
弁当だぁあ？
[sync][wait][clear][end]"
msg_16,"[color(yellow)]克哉[color(white)]
カニ缶サンドか。
マヨネーズや玉昇、ブラックオリーブなんかと
和えれば、意外といけるんじゃないか？
[sync][wait][clear][end]"
msg_17,"[color(yellow)]うらら[color(white)]
マーヤがそんな器用なことできるわけないでしょ。
あのまんま食パンに挟んで食うのよ！
ボソボソ＋ボソボソで、私は完全ダメだったわ。
[sync][wait][clear][end]"
msg_18,"[color(yellow)]克哉[color(white)]
あ、天野君…
[sync][wait][clear][end]"
msg_19,"[color(yellow)][tatsuya][color(white)]
舞耶姉…
せめて蓋は開けてくれ。
[sync][wait][clear][end]"
msg_20,"[color(green)]舞耶がカニ缶を差し出すと、
古のものはおずおず触手を伸ばしてきた。
それが一体なんであるか、検討中のようだ。[color(white)]
[sync][wait][clear][end]"
msg_21,"[color(green)]舞耶は、すごくおいしいの！
とばかりに微笑んだ。[color(white)]
[sync][wait][clear][end]"
msg_22,"[color(green)]古のものは、舞耶の手からカニ缶を取り上げると、
大きな口に運びぼりぼり絆孝した。[color(white)]
[wait][clear][end]"
msg_23,"[color(yellow)]オールドワン[color(white)]
・・－－・・－・－－・－－－－－－－－
－・－－－・－・－・・・－－・－・
－－－－－－－・－－－・－－・
[wait][clear][end]"
msg_24,"[color(green)]古のものは、
知恵のトラペゾヘドロンを残し消え去った。[color(white)]
[sync][wait][clear][end]"
msg_25,"[color(yellow)]パオフゥ[color(white)]
なんか色々すげぇな、天野…
[sync][wait][clear][end]"
msg_26,"[color(green)]舞耶達は、[var(msg_var_0)]のカードを２００枚
手に入れた。[color(white)]
[sync][wait][clear][end]"
msg_27,"[color(green)]舞耶達は、知恵のトラペゾヘドロンを手に入れ、
知恵の塔を後にした。[color(white)]
[sync][wait][clear][end]"
msg_28,"[color(yellow)]うらら[color(white)]
なにおぅ？
殺られる前に殺っちゃう！？
[sync][wait][clear][end]"
msg_29,"[color(yellow)]オールドワン[color(white)]
・－・・－・－・－・・・－－－－・・・
[wait][clear][end]"
msg_30,"[color(yellow)]オールドワン[color(white)]
・－・・・－－－－・－・－－・・－
・－・・・－・・－－・－－－
[wait][clear][end]"
msg_31,"[color(yellow)]オールドワン[color(white)]
－・・－－・－－・
・－・・－－・－・・・－－・
[sync][wait][clear][end]"
