﻿msg_0,"[color(yellow)]珠閒瑠ジニー[color(white)]
では、相性占いを始めるとしよう。
これより水晶の尋ねる問いに、
正直に答えるのじゃ…よいな。では…
[sync][wait][clear][end]"
msg_1,"[color(yellow)]珠閒瑠ジニー[color(white)]
さァ…水晶よ…この者の真意を見抜き
願わくば万物の心の深淵…普遍的無意識へと、
その想い誘いたまえ～
[wait][clear][end]"
msg_2,"[color(green)]Ｑ[var(msg_var_3)]
自分は男性である[color(white)]
[end_choice][clear][end]"
msg_2_Choice1,はい
msg_2_Choice2,いいえ
msg_3,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]クルマやバイクが好きだ[color(white)]
[end_choice][clear][end]"
msg_3_Choice1,はい
msg_3_Choice2,いいえ
msg_4,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]遊園地では動きの激しいものの方が好きだ[color(white)]
[end_choice][clear][end]"
msg_4_Choice1,はい
msg_4_Choice2,いいえ
msg_5,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]物事に熱中すると周りが見えなくなってしまう[color(white)]
[end_choice][clear][end]"
msg_5_Choice1,はい
msg_5_Choice2,いいえ
msg_6,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]パンよりごはんが好きである[color(white)]
[end_choice][clear][end]"
msg_6_Choice1,はい
msg_6_Choice2,いいえ
msg_7,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]食事をする時は、一番好きな物は最後に食べる[color(white)]
[end_choice][clear][end]"
msg_7_Choice1,はい
msg_7_Choice2,いいえ
msg_8,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]ネコよりイヌの方が好きだ[color(white)]
[end_choice][clear][end]"
msg_8_Choice1,はい
msg_8_Choice2,いいえ
msg_9,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]スポーツは見るよりする方が好きだ[color(white)]
[end_choice][clear][end]"
msg_9_Choice1,はい
msg_9_Choice2,いいえ
msg_10,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]野球よりサッカーの方が好きだ[color(white)]
[end_choice][clear][end]"
msg_10_Choice1,はい
msg_10_Choice2,いいえ
msg_11,"[color(green)]Ｑ[var(msg_var_3)][color(white)]
[color(green)]趣味の幅は「狭く深く」より「広く浅く」持ちたい[color(white)]
[end_choice][clear][end]"
msg_11_Choice1,はい
msg_11_Choice2,いいえ
